Workflow,Ambiente,Repeticao,Tempo_Segundos,Memoria_Pico_MB,Status
IO: LOGS,VisTrails,10,1.2080001831054688,8.73828125,SUCESSO
ML: Treinamento Pipeline,Python,1,12.090795516967773,130.50390625,SUCESSO
ML: Treinamento Pipeline,Python,2,2.2292375564575195,130.23046875,SUCESSO
ML: Treinamento Pipeline,Python,3,2.182447671890259,130.484375,SUCESSO
ML: Treinamento Pipeline,Python,4,2.158919334411621,130.32421875,SUCESSO
ML: Treinamento Pipeline,Python,5,2.6962974071502686,130.94140625,SUCESSO
ML: Treinamento Pipeline,Python,6,2.6250720024108887,130.8125,SUCESSO
ML: Treinamento Pipeline,Python,7,2.203028440475464,130.57421875,SUCESSO
ML: Treinamento Pipeline,Python,8,2.1968657970428467,130.296875,SUCESSO
ML: Treinamento Pipeline,Python,9,2.20589280128479,130.46484375,SUCESSO
ML: Treinamento Pipeline,Python,10,2.213632106781006,130.08203125,SUCESSO
ML: Treinamento Pipeline,VisTrails,1,1.1369998455047607,8.73828125,SUCESSO
ML: Treinamento Pipeline,VisTrails,2,1.189000129699707,8.73046875,SUCESSO
ML: Treinamento Pipeline,VisTrails,3,1.0989999771118164,8.734375,SUCESSO
ML: Treinamento Pipeline,VisTrails,4,1.1610000133514404,8.73828125,SUCESSO
ML: Treinamento Pipeline,VisTrails,5,1.133000135421753,8.73828125,SUCESSO
ML: Treinamento Pipeline,VisTrails,6,1.1220002174377441,8.73046875,SUCESSO
ML: Treinamento Pipeline,VisTrails,7,1.1510000228881836,8.73828125,SUCESSO
ML: Treinamento Pipeline,VisTrails,8,1.1200001239776611,8.73046875,SUCESSO
ML: Treinamento Pipeline,VisTrails,9,1.1440000534057617,8.73828125,SUCESSO
ML: Treinamento Pipeline,VisTrails,10,1.2030000686645508,8.734375,SUCESSO
ML: Otimização GridSearch,Python,1,4.168407440185547,133.31640625,SUCESSO
ML: Otimização GridSearch,Python,2,2.7389566898345947,134.09765625,SUCESSO
ML: Otimização GridSearch,Python,3,2.9146153926849365,133.4140625,SUCESSO
ML: Otimização GridSearch,Python,4,2.550632953643799,133.6015625,SUCESSO
ML: Otimização GridSearch,Python,5,2.598781108856201,134.04296875,SUCESSO
ML: Otimização GridSearch,Python,6,2.5305018424987793,134.1875,SUCESSO
ML: Otimização GridSearch,Python,7,2.6714954376220703,134.8046875,SUCESSO
ML: Otimização GridSearch,Python,8,2.6821117401123047,133.06640625,SUCESSO
ML: Otimização GridSearch,Python,9,3.2055788040161133,134.4765625,SUCESSO
ML: Otimização GridSearch,Python,10,2.7385454177856445,133.68359375,SUCESSO
ML: Otimização GridSearch,VisTrails,1,5.101000070571899,8.73828125,SUCESSO
ML: Otimização GridSearch,VisTrails,2,3.555000066757202,8.734375,SUCESSO
ML: Otimização GridSearch,VisTrails,3,3.489999771118164,8.734375,SUCESSO
ML: Otimização GridSearch,VisTrails,4,3.430999994277954,8.734375,SUCESSO
ML: Otimização GridSearch,VisTrails,5,3.4749999046325684,8.73046875,SUCESSO
ML: Otimização GridSearch,VisTrails,6,3.4179999828338623,8.73828125,SUCESSO
ML: Otimização GridSearch,VisTrails,7,3.5299999713897705,8.734375,SUCESSO
ML: Otimização GridSearch,VisTrails,8,3.74399995803833,8.734375,SUCESSO
ML: Otimização GridSearch,VisTrails,9,3.6019999980926514,8.734375,SUCESSO
ML: Otimização GridSearch,VisTrails,10,3.444999933242798,8.73046875,SUCESSO
Matemática: Números Primos,Python,1,0.13268065452575684,7.4453125,SUCESSO
Matemática: Números Primos,Python,2,0.05293560028076172,9.05078125,SUCESSO
Matemática: Números Primos,Python,3,0.05029153823852539,8.97265625,SUCESSO
Matemática: Números Primos,Python,4,0.04929804801940918,8.0234375,SUCESSO
Matemática: Números Primos,Python,5,0.06675601005554199,9.3671875,SUCESSO
Matemática: Números Primos,Python,6,0.04706215858459473,9.08203125,SUCESSO
Matemática: Números Primos,Python,7,0.03936576843261719,7.55859375,SUCESSO
Matemática: Números Primos,Python,8,0.04259157180786133,4.92578125,SUCESSO
Matemática: Números Primos,Python,9,0.07594418525695801,8.55859375,SUCESSO
Matemática: Números Primos,Python,10,0.046097517013549805,8.99609375,SUCESSO
Matemática: Números Primos,VisTrails,1,1.0429999828338623,8.73828125,SUCESSO
Matemática: Números Primos,VisTrails,2,1.0409998893737793,8.73828125,SUCESSO
Matemática: Números Primos,VisTrails,3,0.9900000095367432,8.734375,SUCESSO
Matemática: Números Primos,VisTrails,4,0.9850001335144043,8.734375,SUCESSO
Matemática: Números Primos,VisTrails,5,1.0379998683929443,8.734375,SUCESSO
Matemática: Números Primos,VisTrails,6,1.1749999523162842,8.73046875,SUCESSO
Matemática: Números Primos,VisTrails,7,1.0750000476837158,8.73828125,SUCESSO
Matemática: Números Primos,VisTrails,8,1.0230000019073486,8.7265625,SUCESSO
Matemática: Números Primos,VisTrails,9,0.9800000190734863,8.734375,SUCESSO
Matemática: Números Primos,VisTrails,10,1.0209999084472656,8.734375,SUCESSO
Gráfico de Linha (Tendência),Python,1,2.1882219314575195,58.6875,SUCESSO
Gráfico de Linha (Tendência),Python,2,1.4666063785552979,58.765625,SUCESSO
Gráfico de Linha (Tendência),Python,3,0.9224786758422852,58.78515625,SUCESSO
Gráfico de Linha (Tendência),Python,4,1.4024736881256104,58.9375,SUCESSO
Gráfico de Linha (Tendência),Python,5,0.8872301578521729,58.9453125,SUCESSO
Gráfico de Linha (Tendência),Python,6,0.8901619911193848,58.70703125,SUCESSO
Gráfico de Linha (Tendência),Python,7,1.0343828201293945,58.83984375,SUCESSO
Gráfico de Linha (Tendência),Python,8,0.9401745796203613,58.70703125,SUCESSO
Gráfico de Linha (Tendência),Python,9,0.9244616031646729,58.84375,SUCESSO
Gráfico de Linha (Tendência),Python,10,0.8999059200286865,58.93359375,SUCESSO
Gráfico de Linha (Tendência),VisTrails,1,10.197999954223633,8.73828125,SUCESSO
Gráfico de Linha (Tendência),VisTrails,2,8.907999992370605,8.734375,SUCESSO
Gráfico de Linha (Tendência),VisTrails,3,8.932999849319458,8.734375,SUCESSO
Gráfico de Linha (Tendência),VisTrails,4,9.026000022888184,8.73828125,SUCESSO
Gráfico de Linha (Tendência),VisTrails,5,8.833999872207642,8.73046875,SUCESSO
Gráfico de Linha (Tendência),VisTrails,6,9.658999919891357,8.734375,SUCESSO
Gráfico de Linha (Tendência),VisTrails,7,9.013000011444092,8.734375,SUCESSO
Gráfico de Linha (Tendência),VisTrails,8,9.094000101089478,8.734375,SUCESSO
Gráfico de Linha (Tendência),VisTrails,9,9.3510000705719,8.734375,SUCESSO
Gráfico de Linha (Tendência),VisTrails,10,8.999000072479248,8.73828125,SUCESSO
Gráfico de Dispersão,Python,1,1.0073933601379395,59.05078125,SUCESSO
Gráfico de Dispersão,Python,2,1.4023292064666748,58.93359375,SUCESSO
